transactionId,amount,currency,merchantCountry,issuerCountry,region,cardType,cardBrand,cardPresence,channel,paymentChannel,mcc,threeDS,eci,authDate,clearingDate,clearingDelayDays,category,condition,feeRate,feeAmount,suggestionType,expectedImpact,difficulty,historicalSuccessRate,label_actualSavings,label_successfulRecommendation
T-1,932,RON,ES,RO,EEA,Credit,VISA,card_not_present,MOTO,MOTO,5732,False,07,2026-05-09T10:00:00,2026-05-10T10:00:00,1,Ecom Non-Secure Credit,3DS authentication,0.003,2.796,ENABLE_3DS,4.3782,LOW,0.63,4.3782,1
T-2,237,RON,DE,IT,EEA,Prepaid,VISA,card_not_present,eCommerce,eCommerce,5732,False,07,2026-05-21T10:00:00,2026-05-26T10:00:00,5,Ecom Secure Preferred Credit,MCC classification,0.0185,4.3845,FIX_MCC,0.5353,LOW,0.36,0.5353,1
T-3,812,RON,ES,FR,EEA,Debit,VISA,card_present,POS,POS,5732,False,07,2026-05-20T10:00:00,2026-05-22T10:00:00,2,Standard Credit,clearing time,0.002,1.624,OPTIMIZE_CLEARING,3.4016,LOW,0.8,3.4016,0
T-4,673,EUR,DE,FR,EEA,Debit,MASTERCARD,card_not_present,eCommerce,eCommerce,5812,False,07,2026-05-13T10:00:00,2026-05-15T10:00:00,2,Standard Credit,3DS authentication,0.015,10.095,ENABLE_3DS,4.8311,HIGH,0.35,4.8311,1
T-5,1421,RON,DE,RO,EEA,Commercial,MASTERCARD,card_not_present,MOTO,MOTO,5732,False,07,2026-05-08T10:00:00,2026-05-09T10:00:00,1,Ecom Non-Secure Credit,MCC classification,0.015,21.315,FIX_MCC,3.0386,HIGH,0.87,3.0386,0
T-6,2597,EUR,DE,DE,EEA,Commercial,MASTERCARD,card_not_present,MOTO,MOTO,5411,False,07,2026-05-16T10:00:00,2026-05-19T10:00:00,3,Ecom Non-Secure Credit,3DS authentication,0.025,64.925,ENABLE_3DS,16.3462,LOW,0.63,16.3462,1
T-7,764,EUR,ES,RO,EEA,Commercial,MASTERCARD,card_not_present,eCommerce,eCommerce,5812,False,07,2026-05-05T10:00:00,2026-05-10T10:00:00,5,Ecom Secure Preferred Credit,3DS authentication,0.003,2.292,ENABLE_3DS,6.0817,HIGH,0.86,6.0817,1
T-8,114,EUR,IT,DE,EEA,Credit,MASTERCARD,card_not_present,MOTO,MOTO,5812,True,05,2026-05-04T10:00:00,2026-05-09T10:00:00,5,Ecom Non-Secure Credit,MCC classification,0.0185,2.109,FIX_MCC,0.3708,HIGH,0.89,0.3708,1
T-9,2464,EUR,IT,RO,EU,Prepaid,MASTERCARD,card_not_present,MOTO,MOTO,5732,True,05,2026-05-20T10:00:00,2026-05-21T10:00:00,1,Ecom Non-Secure Credit,MCC classification,0.003,7.392,FIX_MCC,5.228,LOW,0.87,5.228,0
T-10,665,RON,DE,IT,EU,Prepaid,MASTERCARD,card_not_present,MOTO,MOTO,5732,False,07,2026-05-16T10:00:00,2026-05-23T10:00:00,7,Standard Credit,3DS authentication,0.002,1.33,ENABLE_3DS,5.9118,HIGH,0.75,5.9118,1
